# energy s p d
-5.767900000000000027e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.743900000000000006e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.719899999999999984e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.695899999999999963e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.671899999999999942e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.647899999999999920e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.623899999999999899e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.599899999999999878e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.575899999999999856e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.551899999999999835e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.527899999999999814e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.503899999999999793e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.479899999999999771e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.455899999999999750e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.431899999999999729e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.407899999999999707e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.383900000000000574e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.359899999999999665e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.335900000000000531e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.311899999999999622e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.287900000000000489e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.263899999999999579e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.239900000000000446e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.215899999999999537e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.191900000000000404e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
